workoutId,name,coach,type,zonas,duration,date,Sync,Feedback,completed
Andres23,Shaquille,Ken,Fuerza Empuje,Full Body,45,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recNr8WnUeNfNvYK7?blocks=bliHMlxTWf3Xp3Uj6,,
Andres24,Pippen,Ken,Running,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/reccfGKaMBKQZSpCb?blocks=bliHMlxTWf3Xp3Uj6,8,checked
Andres25,Malone,Ken,Fuerza,Full Body,45,11/21/2020,https://airtable.com/tblnhWsiv31HIswwM/recTaY6b6nu7eYF4p?blocks=bliHMlxTWf3Xp3Uj6,,
Maru11,Fortalece tu Core,Miriam,Fuerza,Core,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recujHOIOxo7oyyWw?blocks=bliHMlxTWf3Xp3Uj6,,
Maru12,Circuit Training Workout,Miriam,Circuit Training,Full Body,60,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/reclC9jIocLJfUyR2?blocks=bliHMlxTWf3Xp3Uj6,,
Maru13,Glúteo y pierna,Miriam,Fuerza,Piernas,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recQURyVMbEOoBsPj?blocks=bliHMlxTWf3Xp3Uj6,,
Santiago11,Era Coma,Oscar,Fuerza,Full Body,45,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recvMNvRu7DbrCdbP?blocks=bliHMlxTWf3Xp3Uj6,,
Santiago12,Pla de Baqueira Larga,Oscar,Running,Full Body,60,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recHwkwd5t7aQQW3Q?blocks=bliHMlxTWf3Xp3Uj6,6,checked
Santiago13,Vista Ruda,Oscar,Fuerza Empuje,Full Body,45,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recCMHjK4PxMEYzhx?blocks=bliHMlxTWf3Xp3Uj6,8,checked
Santiago14,Mirador Series medias,Oscar,Running,Full Body,60,11/22/2020,https://airtable.com/tblnhWsiv31HIswwM/recmkNiulQJuyvQtT?blocks=bliHMlxTWf3Xp3Uj6,5,checked
Pablo32,Dia de empuje,Ken,Fuerza Empuje,"Pecho,Brazos",60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recaisVEQ6mTVSgaW?blocks=bliHMlxTWf3Xp3Uj6,,
Juan11,Fortalecer tu Core,Miriam,Fuerza,Core,60,11/23/2020,https://airtable.com/tblnhWsiv31HIswwM/recKgKhC99yF4vyPs?blocks=bliHMlxTWf3Xp3Uj6,1,checked
Juan12,Trabajo de glúteo y pierna,Miriam,Fuerza,Piernas,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recuzxWDNsatxcjJu?blocks=bliHMlxTWf3Xp3Uj6,,
Juan13,"Formando cimientos sólidos, ¡A correr!",Miriam,Running,Full Body,60,11/21/2020,https://airtable.com/tblnhWsiv31HIswwM/recPvXbX6V0t4RRQt?blocks=bliHMlxTWf3Xp3Uj6,6,checked
Juan14,Tronco superior,Miriam,Fuerza,"Pecho,Hombros,Brazos,Core",60,11/22/2020,https://airtable.com/tblnhWsiv31HIswwM/rec4acylbM6uKLVFH?blocks=bliHMlxTWf3Xp3Uj6,4,checked
Juan21,Fortalecer tu Core,Miriam,Fuerza,Core,60,11/23/2020,https://airtable.com/tblnhWsiv31HIswwM/reczQr704WdFPoYf1?blocks=bliHMlxTWf3Xp3Uj6,,
Juan22,Día de series,Miriam,Cardio,Full Body,60,11/24/2020,https://airtable.com/tblnhWsiv31HIswwM/recMfUOggudK32YZc?blocks=bliHMlxTWf3Xp3Uj6,7,checked
Juan23,Circuit training ,Miriam,Cardio,Full Body,60,11/26/2020,https://airtable.com/tblnhWsiv31HIswwM/rec9kSPJanhhBtxmN?blocks=bliHMlxTWf3Xp3Uj6,5,checked
Juan24,Core challenge,Miriam,Fuerza,Core,60,11/27/2020,https://airtable.com/tblnhWsiv31HIswwM/recYzKaYHhdaF1SzL?blocks=bliHMlxTWf3Xp3Uj6,4,checked
Juan25,Una buena base,Miriam,Cardio,Full Body,60,11/29/2020,https://airtable.com/tblnhWsiv31HIswwM/recQSMWz8YfhslIo3?blocks=bliHMlxTWf3Xp3Uj6,6,checked
Elena21,Glúteo y abdomen,Miriam,Fuerza,Full Body,45,11/25/2020,https://airtable.com/tblnhWsiv31HIswwM/recMoUwscGbHymfnE?blocks=bliHMlxTWf3Xp3Uj6,5,checked
Elena22,cardio y fuerza,Miriam,Cardio,Full Body,45,11/26/2020,https://airtable.com/tblnhWsiv31HIswwM/recFORadfnAyI47aY?blocks=bliHMlxTWf3Xp3Uj6,,
Elena23,fuerza,Miriam,Fuerza,Full Body,60,11/28/2020,https://airtable.com/tblnhWsiv31HIswwM/recPwEBz9S4JcXcEY?blocks=bliHMlxTWf3Xp3Uj6,,
Maru21,Tonifícate,Miriam,Fuerza,Full Body,60,11/23/2020,https://airtable.com/tblnhWsiv31HIswwM/recFHoMgyGvDQqVUH?blocks=bliHMlxTWf3Xp3Uj6,,
Maru22,Abdomen y piernas,Miriam,Fuerza,Full Body,60,11/25/2020,https://airtable.com/tblnhWsiv31HIswwM/rec7kL71zGpboMzLE?blocks=bliHMlxTWf3Xp3Uj6,,
Maru23,Circuit training ,Miriam,Circuit Training,Full Body,60,11/27/2020,https://airtable.com/tblnhWsiv31HIswwM/recfZYfEDgeZV9tjW?blocks=bliHMlxTWf3Xp3Uj6,,
Macarena41,Totalbody,Miriam,Fuerza,Full Body,60,11/23/2020,https://airtable.com/tblnhWsiv31HIswwM/rectblZJwQRbOhhdy?blocks=bliHMlxTWf3Xp3Uj6,,
